Category,Question,OptionA,OptionB,OptionC,OptionD,CorrectOption,Explanation
Commissions,"A home sells for $450,000. The listing agreement specifies a 6% total commission split 50/50 between the listing and selling brokers. If the listing salesperson receives 70% of their broker's split, how much does the salesperson earn?","$9,450","$13,500","$27,000","$6,300",OptionA,"1. Total Commission = $450,000 * 0.06 = $27,000.<br>2. Listing Broker Split = $27,000 / 2 = $13,500.<br>3. Salesperson Split = $13,500 * 0.70 = <strong>$9,450</strong>."
Commissions,"A selling broker's salesperson receives 75% of their broker's split. The property sold for $600,000 with a total 6% commission rate, split 50/50 between listing and selling brokers. How much does the salesperson earn?","$13,500","$18,000","$9,000","$27,000",OptionA,"1. Total Commission = $600,000 &times; 0.06 = $36,000.<br>2. Selling Broker Split = $36,000 &divide; 2 = $18,000.<br>3. Salesperson Portion = $18,000 &times; 0.75 = <strong>$13,500</strong>."
Commissions,"A listing broker split a 6% commission 50/50 with a selling broker. The selling broker paid their salesperson 75% of their share. If the salesperson earned $6,750, what was the sales price of the house?","$300,000","$450,000","$225,000","$600,000",OptionA,"1. Work backward: Selling Broker Share = Salesperson Earning &divide; 0.75 = $6,750 &divide; 0.75 = $9,000.<br>2. Total Commission = Selling Broker Share &times; 2 = $9,000 &times; 2 = $18,000.<br>3. Sales Price = Total Commission &divide; 0.06 = $18,000 &divide; 0.06 = <strong>$300,000</strong>."
Commissions,"A seller wants to net $180,000 from the sale of their home. The broker's commission is 6%, and closing costs are $8,000. For how much must the home sell to net the seller $180,000?","$200,000","$191,489","$198,000","$188,000",OptionA,"Use the Net Listing Formula:<br><strong>Sales Price = (Net Amount + Expenses) &divide; (100% - Commission Rate %)</strong><br>1. Net + Expenses = $180,000 + $8,000 = $188,000.<br>2. Rate portion = 100% - 6% = 94% or 0.94.<br>3. Sales Price = $188,000 &divide; 0.94 = <strong>$200,000</strong>."
LTV & Mortgage,"A property is valued at $320,000 and the lender requires an 80% Loan-to-Value (LTV) ratio. How much down payment is required at closing?","$64,000","$256,000","$32,000","$96,000",OptionA,"1. Loan Amount = $320,000 * 0.80 = $256,000.<br>2. Down Payment = Property Value - Loan Amount.<br>3. Down Payment = $320,000 - $256,000 = <strong>$64,000</strong>."
LTV & Mortgage,"A buyer purchases a home for $400,000. The lender's appraisal value comes in at $380,000. If the lender requires an 80% LTV, what is the maximum loan amount they will approve?","$304,000","$320,000","$20,000","$80,000",OptionA,"Lenders apply LTV to the Sales Price or Appraised Value, <strong>whichever is LOWER</strong>.<br>1. Lower value = Appraised Value of $380,000.<br>2. Max Loan = $380,000 &times; 0.80 = <strong>$304,000</strong>."
LTV & Mortgage,"A buyer secures a $250,000 interest-only loan at 6.5% interest. If their monthly principal and interest payment is $1,580, how much of their first monthly payment goes toward the principal balance?","$225.83","$1,354.17","$1,580","$0",OptionA,"1. Annual Interest = $250,000 &times; 0.065 = $16,250.<br>2. Monthly Interest = $16,250 &divide; 12 = $1,354.17.<br>3. Principal Payment = Total Payment - Monthly Interest = $1,580 - $1,354.17 = <strong>$225.83</strong>."
LTV & Mortgage,"A lender charges 2 discount points on a $300,000 mortgage loan. How much do the points cost the buyer?","$6,000","$3,000","$2,000","$4,500",OptionA,"A discount point is 1% of the loan amount.<br>1. Cost = Loan Amount &times; Points %.<br>2. $300,000 &times; 0.02 = <strong>$6,000</strong>."
Cap Rate,"An apartment building has a gross income of $120,000 and operating expenses of $45,000. If the capitalization rate is 8%, what is the estimated value of the property?","$937,500","$1,500,000","$562,500","$1,200,000",OptionA,"1. NOI = Gross Income - Operating Expenses.<br>2. NOI = $120,000 - $45,000 = $75,000.<br>3. Value = NOI / Cap Rate.<br>4. Value = $75,000 / 0.08 = <strong>$937,500</strong>."
Cap Rate,"An investor demands a 9% return (Cap Rate). A property earns a monthly gross income of $10,000, with annual operating expenses of $36,000. What is the value of the property?","$933,333","$1,000,000","$711,111","$1,333,333",OptionA,"1. Scheduled Annual Gross = $10,000 &times; 12 = $120,000.<br>2. NOI = Gross Annual - Expenses = $120,000 - $36,000 = $84,000.<br>3. Value = NOI &divide; Cap Rate = $84,000 &divide; 0.09 = <strong>$933,333</strong>."
Cap Rate,"A retail center generates $250,000 in scheduled rent. The vacancy rate is 5%. Annual operating expenses are $80,000. Annual mortgage payments (debt service) are $45,000. What is the Net Operating Income (NOI)?","$157,500","$237,500","$112,500","$125,000",OptionA,"1. Effective Gross Income (EGI) = $250,000 - 5% Vacancy ($12,500) = $237,500.<br>2. Subtract Operating Expenses: $237,500 - $80,000 = $157,500.<br>3. Note: Mortgage debt service is NOT an operating expense, do not subtract it. NOI = <strong>$157,500</strong>."
Cap Rate,"A commercial lot worth $800,000 generates $90,000 in effective gross income. The operating expenses are 40% of EGI. What is the Capitalization Rate?","6.75%","11.25%","4.5%","8.00%",OptionA,"1. NOI = EGI &times; (100% - Expense %) = $90,000 &times; 0.60 = $54,000.<br>2. Cap Rate = NOI &divide; Value = $54,000 &divide; $800,000 = 0.0675 or <strong>6.75%</strong>."
GRM,"A commercial building has an annual gross income of $96,000. If the annual Gross Rent Multiplier (GRM) is 12.5, what is the estimated market value of the property?","$1,200,000","$800,000","$960,000","$1,000,000",OptionA,"1. Value = Gross Income * Annual GRM.<br>2. Value = $96,000 * 12.5 = <strong>$1,200,000</strong>."
GRM,"A rental duplex sells for $540,000 and generates total monthly rent of $4,500. What is the monthly Gross Rent Multiplier (GRM)?","120","10","108","135",OptionA,"1. Monthly GRM = Sales Price &divide; Monthly Rent.<br>2. $540,000 &divide; $4,500 = <strong>120</strong>."
GRM,"A rental property valued at $360,000 has a monthly GRM of 120. What is the gross monthly rental income?","$3,000","$2,500","$4,000","$1,500",OptionA,"1. Rent = Property Value &divide; GRM.<br>2. $360,000 &divide; 120 = <strong>$3,000</strong>."
Land Area,"A buyer purchases a rectangular parcel of land measuring 200 feet wide by 435.6 feet deep. How many acres is this parcel?","2.0 Acres","1.5 Acres","3.0 Acres","2.5 Acres",OptionA,"1. Area = 200 ft * 435.6 ft = 87,120 sq ft.<br>2. Acres = Total Area / 43,560.<br>3. Acres = 87,120 / 43,560 = <strong>2.0 Acres</strong>."
Land Area,"A buyer purchases 3.5 acres of commercial land for $152,460. What is the purchase price per square foot?","$1.00","$2.50","$0.85","$1.20",OptionA,"1. Total Square Feet = 3.5 &times; 43,560 = 152,460 sq ft.<br>2. Price per Sq Ft = Purchase Price &divide; Total Sq Ft = $152,460 &divide; 152,460 = <strong>$1.00</strong>."
Land Area,"A commercial lot has 150 front feet (width) and 300 feet of depth. If it sells for $45,000, what is the purchase price per front foot?","$300","$150","$1.00","$1.50",OptionA,"Price per front foot is based on the frontage width (front feet).<br>1. Price per front foot = Sales Price &divide; Frontage Width.<br>2. $45,000 &divide; 150 = <strong>$300</strong>."
